"Grupao","Grupo","Familia","Especie","NomeComum","Bioma"
"Fauna","Aves","Thraupidae","Sporophila ruficollis","Caboclinho-de-papo-escuro","Pampa"
"Fauna","Aves","Thraupidae","Sporophila ruficollis","Caboclinho-de-papo-escuro","Pantanal"
"Fauna","Peixes Marinhos","Squalidae","Squalus acanthias","Cação-bagre","Marinho"
"Fauna","Peixes Marinhos","Squatinidae","Squatina argentina","Cação-anjo-de-asa-longa","Marinho"
"Fauna","Peixes Marinhos","Squatinidae","Squatina guggenheim","Cação-anjo-espinhudo","Marinho"
"Fauna","Peixes Marinhos","Squatinidae","Squatina occulta","Cação-anjo-de-asa-curta","Marinho"
"Flora","Angiospermas","Verbenaceae","Stachytarpheta almasensis","-","Caatinga"
"Flora","Angiospermas","Verbenaceae","Stachytarpheta procumbens","-","Cerrado"
"Flora","Angiospermas","Verbenaceae","Stachytarpheta radlkoferiana","-","Caatinga"
"Flora","Angiospermas","Verbenaceae","Stachytarpheta radlkoferiana","-","Cerrado"
"Flora","Angiospermas","Rubiaceae","Staelia hatschbachii","-","Caatinga"
"Flora","Angiospermas","Rubiaceae","Staelia hatschbachii","-","Cerrado"
"Flora","Angiospermas","Rubiaceae","Standleya kuhlmanni","-","Mata Atlântica"
"Flora","Angiospermas","Acanthaceae","Staurogyne brachiata","-","Mata Atlântica"
"Flora","Angiospermas","Acanthaceae","Staurogyne carvalhoi","-","Mata Atlântica"
"Flora","Angiospermas","Acanthaceae","Staurogyne elegans","-","Cerrado"
"Flora","Angiospermas","Acanthaceae","Staurogyne itatiaiae","-","Mata Atlântica"
"Flora","Angiospermas","Acanthaceae","Staurogyne vauthieriana","-","Mata Atlântica"
"Flora","Angiospermas","Acanthaceae","Staurogyne veronicifolia","-","Mata Atlântica"
"Flora","Angiospermas","Acanthaceae","Staurogyne warmingiana","-","Mata Atlântica"
"Fauna","Peixes Marinhos","Pomacentridae","Stegastes rocasensis","Donzela-de-rocas","Marinho"
