"Grupao","Grupo","Familia","Especie","NomeComum","CategoriaAmeaca"
"Fauna","Mamíferos","Vespertilionidae","Eptesicus taddeii","Morcego","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Eremanthus argenteus","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Eremanthus leucodendron","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Eremanthus polycephalus","-","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Nymphalidae","Eresia erysice erysice","Borboleta","Criticamente em Perigo (CR)"
"Fauna","Répteis","Cheloniidae","Eretmochelys imbricata","Tartaruga-de-pente","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Melastomataceae","Eriocnema acaulis","-","Em Perigo (EN)"
"Flora","Angiospermas","Melastomataceae","Eriocnema fulva","-","Vulnerável (VU)"
"Flora","Angiospermas","Lamiaceae","Eriope anamariae","-","Em Perigo (EN)"
"Flora","Angiospermas","Lamiaceae","Eriope blanchetii","-","Vulnerável (VU)"
"Flora","Angiospermas","Lamiaceae","Eriope crassipes subsp. cristalinae","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Lamiaceae","Eriope luetzelburgii","-","Vulnerável (VU)"
"Flora","Angiospermas","Lamiaceae","Eriope machrisae","-","Em Perigo (EN)"
"Flora","Angiospermas","Lamiaceae","Eriope obovata var. gracilis","-","Em Perigo (EN)"
"Flora","Angiospermas","Vochysiaceae","Erisma arietinum","carneiro","Em Perigo (EN)"
"Flora","Angiospermas","Rubiaceae","Erithalis insularis","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Apiaceae","Eryngium corallinum","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Apiaceae","Eryngium divaricatum","-","Em Perigo (EN)"
"Flora","Angiospermas","Apiaceae","Eryngium dorae","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Apiaceae","Eryngium falcifolium","-","Em Perigo (EN)"
"Flora","Angiospermas","Apiaceae","Eryngium koehneanum","-","Vulnerável (VU)"
"Flora","Angiospermas","Apiaceae","Eryngium ombrophilum","-","Em Perigo (EN)"
"Flora","Angiospermas","Apiaceae","Eryngium ramboanum","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Apiaceae","Eryngium scirpinum","-","Em Perigo (EN)"
"Flora","Angiospermas","Apiaceae","Eryngium smithii","-","Em Perigo (EN)"
"Flora","Angiospermas","Apiaceae","Eryngium urbanianum","-","Em Perigo (EN)"
"Flora","Angiospermas","Apiaceae","Eryngium zosterifolium","-","Vulnerável (VU)"
"Flora","Angiospermas","Erythroxylaceae","Erythroxylum bezerrae","muçarenga; pirunga","Em Perigo (EN)"
"Flora","Angiospermas","Erythroxylaceae","Erythroxylum catharinense","baga-depomba; cocão; concon; fruta-de-pomba","Em Perigo (EN)"
"Flora","Angiospermas","Erythroxylaceae","Erythroxylum compressum","-","Em Perigo (EN)"
"Flora","Angiospermas","Erythroxylaceae","Erythroxylum leal-costae","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Erythroxylaceae","Erythroxylum mattos-silvae","-","Em Perigo (EN)"
"Flora","Angiospermas","Erythroxylaceae","Erythroxylum membranaceum","-","Em Perigo (EN)"
"Flora","Angiospermas","Erythroxylaceae","Erythroxylum nelson-rosae","-","Em Perigo (EN)"
"Flora","Angiospermas","Erythroxylaceae","Erythroxylum pauferrense","guarda-orvalho","Em Perigo (EN)"
"Flora","Angiospermas","Erythroxylaceae","Erythroxylum petrae-caballi","-","Vulnerável (VU)"
"Flora","Angiospermas","Erythroxylaceae","Erythroxylum substriatum","-","Vulnerável (VU)"
"Flora","Angiospermas","Erythroxylaceae","Erythroxylum tianguanum","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Escalloniaceae","Escallonia obtusissima","-","Vulnerável (VU)"
"Flora","Angiospermas","Escalloniaceae","Escallonia petrophila","-","Em Perigo (EN)"
"Flora","Angiospermas","Lecythidaceae","Eschweilera alvimii","falso sapucaia; sapucarana","Em Perigo (EN)"
"Flora","Angiospermas","Lecythidaceae","Eschweilera compressa","ibiribá-rana; sapucaia miuda","Em Perigo (EN)"
"Flora","Angiospermas","Lecythidaceae","Eschweilera subcordata","-","Em Perigo (EN)"
"Flora","Angiospermas","Lecythidaceae","Eschweilera tetrapetala","inaíba; jacaré","Em Perigo (EN)"
"Flora","Angiospermas","Rutaceae","Esenbeckia irwiniana","-","Em Perigo (EN)"
"Flora","Angiospermas","Cactaceae","Espostoopsis dybowskii","-","Em Perigo (EN)"
"Flora","Angiospermas","Orobanchaceae","Esterhazya caesarea","-","Vulnerável (VU)"
"Fauna","Mamíferos","Balaenidae","Eubalaena australis","Baleia-franca-do-sul","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia blanda","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia brunoi","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia bunchosiifolia","-","Vulnerável (VU)"
"Flora","Angiospermas","Myrtaceae","Eugenia disperma","-","Vulnerável (VU)"
"Flora","Angiospermas","Myrtaceae","Eugenia hermesiana","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Myrtaceae","Eugenia imaruiensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia itacarensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia joenssonii","-","Vulnerável (VU)"
"Flora","Angiospermas","Myrtaceae","Eugenia leonorae","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia macrobracteolata","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia malacantha","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia mattosii","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia myrciariifolia","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia neosericea","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia neotristis","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia oxyoentophylla","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia pachyclada","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia peruibensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia pruinosa","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia pseudomalacantha","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia reitziana","-","Em Perigo (EN)"
"Flora","Angiospermas","Myrtaceae","Eugenia rotundicosta","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Myrtaceae","Eugenia sclerocalyx","-","Vulnerável (VU)"
"Flora","Angiospermas","Myrtaceae","Eugenia vattimoana","-","Vulnerável (VU)"
"Flora","Angiospermas","Myrtaceae","Eugenia villaenovae","-","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Eukoeneniidae","Eukoenenia maquinensis","Palpígrado","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Eukoeneniidae","Eukoenenia potiguar","Palpígrado","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Eukoeneniidae","Eukoenenia sagarana","Palpígrado","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Eukoeneniidae","Eukoenenia spelunca","Palpígrado","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Eukoeneniidae","Eukoenenia virgemdalapa","Palpígrado","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Eunicidae","Eunice sebastiani","Desconhecido","Em Perigo (EN)"
"Flora","Angiospermas","Euphorbiaceae","Euphorbia appariciana","-","Em Perigo (EN)"
"Flora","Angiospermas","Euphorbiaceae","Euphorbia attastoma","-","Em Perigo (EN)"
"Flora","Angiospermas","Euphorbiaceae","Euphorbia crossadenia","-","Em Perigo (EN)"
"Flora","Angiospermas","Euphorbiaceae","Euphorbia gymnoclada","-","Vulnerável (VU)"
"Flora","Angiospermas","Euphorbiaceae","Euphorbia holochlorina","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Proteaceae","Euplassa cantareirae","carvalho brasileiro","Em Perigo (EN)"
"Flora","Angiospermas","Proteaceae","Euplassa incana","carvalho do Brasil","Vulnerável (VU)"
"Flora","Angiospermas","Proteaceae","Euplassa nebularis","-","Em Perigo (EN)"
"Flora","Angiospermas","Proteaceae","Euplassa semicostata","-","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Nymphalidae","Euptychia boulleti","Borboleta","Criticamente em Perigo (CR)"
"Fauna","Répteis","Teiidae","Eurolophosaurus amathites","Desconhecido","Em Perigo (EN)"
"Fauna","Mamíferos","Cricetidae","Euryoryzomys lamia","Rato-do-mato","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Gonyleptidae","Eusarcus elinae","Opilião","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Strombidae","Eustrombus goliath","Búzio-de-chapéu","Vulnerável (VU)"
"Flora","Angiospermas","Arecaceae","Euterpe edulis","Juçara; Palmito","Vulnerável (VU)"
"Fauna","Invertebrados Aquáticos","Pectinidae","Euvola ziczac","Vieira","Em Perigo (EN)"
