"Grupao","Grupo","Familia","Especie","NomeComum","EstadosOcorrencia"
"Fauna","Mamíferos","Felidae","Leopardus guttulus","Gato-do-mato","RS"
"Fauna","Mamíferos","Felidae","Leopardus guttulus","Gato-do-mato","SC"
"Fauna","Mamíferos","Felidae","Leopardus guttulus","Gato-do-mato","SP"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","AC"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","AL"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","AM"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","AP"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","BA"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","CE"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","DF"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","GO"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","MA"
